"","H","C","A","N"
"1",0.572432600241708,0.342190964790661,3.73,1e+05
"2",0.555179713522862,0.338572230787179,3.7,1e+05
"3",0.511615712741056,0.333889551148913,3.68,1e+05
"4",0.492730022508514,0.340834850214302,3.67,1e+05
"5",0.348126897303281,0.283961145946859,3.83,1e+05
"6",0.738692617127848,0.291861458444349,4,1e+05
"7",0.572432600241708,0.342190964790661,3.73,1e+05
"8",0.555179713522862,0.338572230787179,3.7,1e+05
"9",0.511615712741056,0.333889551148913,3.68,1e+05
"10",0.492730022508514,0.340834850214302,3.67,1e+05
"11",0.348126897303281,0.283961145946859,3.83,1e+05
"12",0.738692617127848,0.291861458444349,4,1e+05
"13",0.572432600241708,0.342190964790661,3.73,1e+05
"14",0.555179713522862,0.338572230787179,3.7,1e+05
"15",0.511615712741056,0.333889551148913,3.68,1e+05
"16",0.492730022508514,0.340834850214302,3.67,1e+05
"17",0.348126897303281,0.283961145946859,3.83,1e+05
"18",0.738692617127848,0.291861458444349,4,1e+05
"19",0.572432600241708,0.342190964790661,3.73,1e+05
"20",0.555179713522862,0.338572230787179,3.7,1e+05
"21",0.511615712741056,0.333889551148913,3.68,1e+05
"22",0.492730022508514,0.340834850214302,3.67,1e+05
"23",0.348126897303281,0.283961145946859,3.83,1e+05
"24",0.738692617127848,0.291861458444349,4,1e+05
"25",0.572432600241708,0.342190964790661,3.73,1e+05
"26",0.555179713522862,0.338572230787179,3.7,1e+05
"27",0.511615712741056,0.333889551148913,3.68,1e+05
"28",0.492730022508514,0.340834850214302,3.67,1e+05
"29",0.348126897303281,0.283961145946859,3.83,1e+05
"30",0.738692617127848,0.291861458444349,4,1e+05
"31",0.572432600241708,0.342190964790661,3.73,1e+05
"32",0.555179713522862,0.338572230787179,3.7,1e+05
"33",0.511615712741056,0.333889551148913,3.68,1e+05
"34",0.492730022508514,0.340834850214302,3.67,1e+05
"35",0.348126897303281,0.283961145946859,3.83,1e+05
"36",0.738692617127848,0.291861458444349,4,1e+05
"37",0.572432600241708,0.342190964790661,3.73,1e+05
"38",0.555179713522862,0.338572230787179,3.7,1e+05
"39",0.511615712741056,0.333889551148913,3.68,1e+05
"40",0.492730022508514,0.340834850214302,3.67,1e+05
"41",0.348126897303281,0.283961145946859,3.83,1e+05
"42",0.738692617127848,0.291861458444349,4,1e+05
"43",0.572432600241708,0.342190964790661,3.73,1e+05
"44",0.555179713522862,0.338572230787179,3.7,1e+05
"45",0.511615712741056,0.333889551148913,3.68,1e+05
"46",0.492730022508514,0.340834850214302,3.67,1e+05
"47",0.348126897303281,0.283961145946859,3.83,1e+05
"48",0.738692617127848,0.291861458444349,4,1e+05
"49",0.572432600241708,0.342190964790661,3.73,1e+05
"50",0.555179713522862,0.338572230787179,3.7,1e+05
"51",0.511615712741056,0.333889551148913,3.68,1e+05
"52",0.492730022508514,0.340834850214302,3.67,1e+05
"53",0.348126897303281,0.283961145946859,3.83,1e+05
"54",0.738692617127848,0.291861458444349,4,1e+05
"55",0.572432600241708,0.342190964790661,3.73,1e+05
"56",0.555179713522862,0.338572230787179,3.7,1e+05
"57",0.511615712741056,0.333889551148913,3.68,1e+05
"58",0.492730022508514,0.340834850214302,3.67,1e+05
"59",0.348126897303281,0.283961145946859,3.83,1e+05
"60",0.738692617127848,0.291861458444349,4,1e+05
"61",0.572432600241708,0.342190964790661,3.73,1e+05
"62",0.555179713522862,0.338572230787179,3.7,1e+05
"63",0.511615712741056,0.333889551148913,3.68,1e+05
"64",0.492730022508514,0.340834850214302,3.67,1e+05
"65",0.348126897303281,0.283961145946859,3.83,1e+05
"66",0.738692617127848,0.291861458444349,4,1e+05
"67",0.572432600241708,0.342190964790661,3.73,1e+05
"68",0.555179713522862,0.338572230787179,3.7,1e+05
"69",0.511615712741056,0.333889551148913,3.68,1e+05
"70",0.492730022508514,0.340834850214302,3.67,1e+05
"71",0.348126897303281,0.283961145946859,3.83,1e+05
"72",0.738692617127848,0.291861458444349,4,1e+05
"73",0.572432600241708,0.342190964790661,3.73,1e+05
"74",0.555179713522862,0.338572230787179,3.7,1e+05
"75",0.511615712741056,0.333889551148913,3.68,1e+05
"76",0.492730022508514,0.340834850214302,3.67,1e+05
"77",0.348126897303281,0.283961145946859,3.83,1e+05
"78",0.738692617127848,0.291861458444349,4,1e+05
"79",0.572432600241708,0.342190964790661,3.73,1e+05
"80",0.555179713522862,0.338572230787179,3.7,1e+05
"81",0.511615712741056,0.333889551148913,3.68,1e+05
"82",0.492730022508514,0.340834850214302,3.67,1e+05
"83",0.348126897303281,0.283961145946859,3.83,1e+05
"84",0.738692617127848,0.291861458444349,4,1e+05
"85",0.572432600241708,0.342190964790661,3.73,1e+05
"86",0.555179713522862,0.338572230787179,3.7,1e+05
"87",0.511615712741056,0.333889551148913,3.68,1e+05
"88",0.492730022508514,0.340834850214302,3.67,1e+05
"89",0.348126897303281,0.283961145946859,3.83,1e+05
"90",0.738692617127848,0.291861458444349,4,1e+05
"91",0.572401588873747,0.342211835837126,3.73,1e+06
"92",0.55531044287753,0.338544344694355,3.7,1e+06
"93",0.51135052745232,0.334042845850638,3.68,1e+06
"94",0.492702616022892,0.340846402472747,3.67,1e+06
"95",0.345996315274643,0.283649647051552,3.83,1e+06
"96",0.739005736561853,0.291773179855289,4,1e+06
"97",0.572401588873747,0.342211835837126,3.73,1e+06
"98",0.55531044287753,0.338544344694355,3.7,1e+06
"99",0.51135052745232,0.334042845850638,3.68,1e+06
"100",0.492702616022892,0.340846402472747,3.67,1e+06
"101",0.345996315274643,0.283649647051552,3.83,1e+06
"102",0.739005736561853,0.291773179855289,4,1e+06
"103",0.572401588873747,0.342211835837126,3.73,1e+06
"104",0.55531044287753,0.338544344694355,3.7,1e+06
"105",0.51135052745232,0.334042845850638,3.68,1e+06
"106",0.492702616022892,0.340846402472747,3.67,1e+06
"107",0.345996315274643,0.283649647051552,3.83,1e+06
"108",0.739005736561853,0.291773179855289,4,1e+06
"109",0.572401588873747,0.342211835837126,3.73,1e+06
"110",0.55531044287753,0.338544344694355,3.7,1e+06
"111",0.51135052745232,0.334042845850638,3.68,1e+06
"112",0.492702616022892,0.340846402472747,3.67,1e+06
"113",0.345996315274643,0.283649647051552,3.83,1e+06
"114",0.739005736561853,0.291773179855289,4,1e+06
"115",0.572401588873747,0.342211835837126,3.73,1e+06
"116",0.55531044287753,0.338544344694355,3.7,1e+06
"117",0.51135052745232,0.334042845850638,3.68,1e+06
"118",0.492702616022892,0.340846402472747,3.67,1e+06
"119",0.345996315274643,0.283649647051552,3.83,1e+06
"120",0.739005736561853,0.291773179855289,4,1e+06
"121",0.572401588873747,0.342211835837126,3.73,1e+06
"122",0.55531044287753,0.338544344694355,3.7,1e+06
"123",0.51135052745232,0.334042845850638,3.68,1e+06
"124",0.492702616022892,0.340846402472747,3.67,1e+06
"125",0.345996315274643,0.283649647051552,3.83,1e+06
"126",0.739005736561853,0.291773179855289,4,1e+06
"127",0.572401588873747,0.342211835837126,3.73,1e+06
"128",0.55531044287753,0.338544344694355,3.7,1e+06
"129",0.51135052745232,0.334042845850638,3.68,1e+06
"130",0.492702616022892,0.340846402472747,3.67,1e+06
"131",0.345996315274643,0.283649647051552,3.83,1e+06
"132",0.739005736561853,0.291773179855289,4,1e+06
"133",0.572401588873747,0.342211835837126,3.73,1e+06
"134",0.55531044287753,0.338544344694355,3.7,1e+06
"135",0.51135052745232,0.334042845850638,3.68,1e+06
"136",0.492702616022892,0.340846402472747,3.67,1e+06
"137",0.345996315274643,0.283649647051552,3.83,1e+06
"138",0.739005736561853,0.291773179855289,4,1e+06
"139",0.572401588873747,0.342211835837126,3.73,1e+06
"140",0.55531044287753,0.338544344694355,3.7,1e+06
"141",0.51135052745232,0.334042845850638,3.68,1e+06
"142",0.492702616022892,0.340846402472747,3.67,1e+06
"143",0.345996315274643,0.283649647051552,3.83,1e+06
"144",0.739005736561853,0.291773179855289,4,1e+06
"145",0.572401588873747,0.342211835837126,3.73,1e+06
"146",0.55531044287753,0.338544344694355,3.7,1e+06
"147",0.51135052745232,0.334042845850638,3.68,1e+06
"148",0.492702616022892,0.340846402472747,3.67,1e+06
"149",0.345996315274643,0.283649647051552,3.83,1e+06
"150",0.739005736561853,0.291773179855289,4,1e+06
"151",0.572401588873747,0.342211835837126,3.73,1e+06
"152",0.55531044287753,0.338544344694355,3.7,1e+06
"153",0.51135052745232,0.334042845850638,3.68,1e+06
"154",0.492702616022892,0.340846402472747,3.67,1e+06
"155",0.345996315274643,0.283649647051552,3.83,1e+06
"156",0.739005736561853,0.291773179855289,4,1e+06
"157",0.572401588873747,0.342211835837126,3.73,1e+06
"158",0.55531044287753,0.338544344694355,3.7,1e+06
"159",0.51135052745232,0.334042845850638,3.68,1e+06
"160",0.492702616022892,0.340846402472747,3.67,1e+06
"161",0.345996315274643,0.283649647051552,3.83,1e+06
"162",0.739005736561853,0.291773179855289,4,1e+06
"163",0.572401588873747,0.342211835837126,3.73,1e+06
"164",0.55531044287753,0.338544344694355,3.7,1e+06
"165",0.51135052745232,0.334042845850638,3.68,1e+06
"166",0.492702616022892,0.340846402472747,3.67,1e+06
"167",0.345996315274643,0.283649647051552,3.83,1e+06
"168",0.739005736561853,0.291773179855289,4,1e+06
"169",0.572401588873747,0.342211835837126,3.73,1e+06
"170",0.55531044287753,0.338544344694355,3.7,1e+06
"171",0.51135052745232,0.334042845850638,3.68,1e+06
"172",0.492702616022892,0.340846402472747,3.67,1e+06
"173",0.345996315274643,0.283649647051552,3.83,1e+06
"174",0.739005736561853,0.291773179855289,4,1e+06
"175",0.572401588873747,0.342211835837126,3.73,1e+06
"176",0.55531044287753,0.338544344694355,3.7,1e+06
"177",0.51135052745232,0.334042845850638,3.68,1e+06
"178",0.492702616022892,0.340846402472747,3.67,1e+06
"179",0.345996315274643,0.283649647051552,3.83,1e+06
"180",0.739005736561853,0.291773179855289,4,1e+06
