"","H","C","D","A"
"1",0.572161055140707,0.341924713293193,4,3.73
"2",0.556337421072183,0.338488842470001,4,3.7
"3",0.510122408727662,0.332831347442115,4,3.68
"4",0.492941736771973,0.340756482833703,4,3.67
"5",0.363555813509802,0.287097952131481,4,3.83
"6",0.738098120248456,0.292109700407637,4,4
"7",0.572161055140707,0.341924713293193,4,3.73
"8",0.556337421072183,0.338488842470001,4,3.7
"9",0.510122408727662,0.332831347442115,4,3.68
"10",0.492941736771973,0.340756482833703,4,3.67
"11",0.363555813509802,0.287097952131481,4,3.83
"12",0.738098120248456,0.292109700407637,4,4
"13",0.572161055140707,0.341924713293193,4,3.73
"14",0.556337421072183,0.338488842470001,4,3.7
"15",0.510122408727662,0.332831347442115,4,3.68
"16",0.492941736771973,0.340756482833703,4,3.67
"17",0.363555813509802,0.287097952131481,4,3.83
"18",0.738098120248456,0.292109700407637,4,4
"19",0.572161055140707,0.341924713293193,4,3.73
"20",0.556337421072183,0.338488842470001,4,3.7
"21",0.510122408727662,0.332831347442115,4,3.68
"22",0.492941736771973,0.340756482833703,4,3.67
"23",0.363555813509802,0.287097952131481,4,3.83
"24",0.738098120248456,0.292109700407637,4,4
"25",0.572161055140707,0.341924713293193,4,3.73
"26",0.556337421072183,0.338488842470001,4,3.7
"27",0.510122408727662,0.332831347442115,4,3.68
"28",0.492941736771973,0.340756482833703,4,3.67
"29",0.363555813509802,0.287097952131481,4,3.83
"30",0.738098120248456,0.292109700407637,4,4
"31",0.572161055140707,0.341924713293193,4,3.73
"32",0.556337421072183,0.338488842470001,4,3.7
"33",0.510122408727662,0.332831347442115,4,3.68
"34",0.492941736771973,0.340756482833703,4,3.67
"35",0.363555813509802,0.287097952131481,4,3.83
"36",0.738098120248456,0.292109700407637,4,4
"37",0.572161055140707,0.341924713293193,4,3.73
"38",0.556337421072183,0.338488842470001,4,3.7
"39",0.510122408727662,0.332831347442115,4,3.68
"40",0.492941736771973,0.340756482833703,4,3.67
"41",0.363555813509802,0.287097952131481,4,3.83
"42",0.738098120248456,0.292109700407637,4,4
"43",0.572161055140707,0.341924713293193,4,3.73
"44",0.556337421072183,0.338488842470001,4,3.7
"45",0.510122408727662,0.332831347442115,4,3.68
"46",0.492941736771973,0.340756482833703,4,3.67
"47",0.363555813509802,0.287097952131481,4,3.83
"48",0.738098120248456,0.292109700407637,4,4
"49",0.572161055140707,0.341924713293193,4,3.73
"50",0.556337421072183,0.338488842470001,4,3.7
"51",0.510122408727662,0.332831347442115,4,3.68
"52",0.492941736771973,0.340756482833703,4,3.67
"53",0.363555813509802,0.287097952131481,4,3.83
"54",0.738098120248456,0.292109700407637,4,4
"55",0.572161055140707,0.341924713293193,4,3.73
"56",0.556337421072183,0.338488842470001,4,3.7
"57",0.510122408727662,0.332831347442115,4,3.68
"58",0.492941736771973,0.340756482833703,4,3.67
"59",0.363555813509802,0.287097952131481,4,3.83
"60",0.738098120248456,0.292109700407637,4,4
"61",0.572161055140707,0.341924713293193,4,3.73
"62",0.556337421072183,0.338488842470001,4,3.7
"63",0.510122408727662,0.332831347442115,4,3.68
"64",0.492941736771973,0.340756482833703,4,3.67
"65",0.363555813509802,0.287097952131481,4,3.83
"66",0.738098120248456,0.292109700407637,4,4
"67",0.572161055140707,0.341924713293193,4,3.73
"68",0.556337421072183,0.338488842470001,4,3.7
"69",0.510122408727662,0.332831347442115,4,3.68
"70",0.492941736771973,0.340756482833703,4,3.67
"71",0.363555813509802,0.287097952131481,4,3.83
"72",0.738098120248456,0.292109700407637,4,4
"73",0.572161055140707,0.341924713293193,4,3.73
"74",0.556337421072183,0.338488842470001,4,3.7
"75",0.510122408727662,0.332831347442115,4,3.68
"76",0.492941736771973,0.340756482833703,4,3.67
"77",0.363555813509802,0.287097952131481,4,3.83
"78",0.738098120248456,0.292109700407637,4,4
"79",0.572161055140707,0.341924713293193,4,3.73
"80",0.556337421072183,0.338488842470001,4,3.7
"81",0.510122408727662,0.332831347442115,4,3.68
"82",0.492941736771973,0.340756482833703,4,3.67
"83",0.363555813509802,0.287097952131481,4,3.83
"84",0.738098120248456,0.292109700407637,4,4
"85",0.572161055140707,0.341924713293193,4,3.73
"86",0.556337421072183,0.338488842470001,4,3.7
"87",0.510122408727662,0.332831347442115,4,3.68
"88",0.492941736771973,0.340756482833703,4,3.67
"89",0.363555813509802,0.287097952131481,4,3.83
"90",0.738098120248456,0.292109700407637,4,4
"91",0.572161055140707,0.341924713293193,4,3.73
"92",0.556337421072183,0.338488842470001,4,3.7
"93",0.510122408727662,0.332831347442115,4,3.68
"94",0.492941736771973,0.340756482833703,4,3.67
"95",0.363555813509802,0.287097952131481,4,3.83
"96",0.738098120248456,0.292109700407637,4,4
"97",0.572161055140707,0.341924713293193,4,3.73
"98",0.556337421072183,0.338488842470001,4,3.7
"99",0.510122408727662,0.332831347442115,4,3.68
"100",0.492941736771973,0.340756482833703,4,3.67
"101",0.363555813509802,0.287097952131481,4,3.83
"102",0.738098120248456,0.292109700407637,4,4
"103",0.572161055140707,0.341924713293193,4,3.73
"104",0.556337421072183,0.338488842470001,4,3.7
"105",0.510122408727662,0.332831347442115,4,3.68
"106",0.492941736771973,0.340756482833703,4,3.67
"107",0.363555813509802,0.287097952131481,4,3.83
"108",0.738098120248456,0.292109700407637,4,4
"109",0.572161055140707,0.341924713293193,4,3.73
"110",0.556337421072183,0.338488842470001,4,3.7
"111",0.510122408727662,0.332831347442115,4,3.68
"112",0.492941736771973,0.340756482833703,4,3.67
"113",0.363555813509802,0.287097952131481,4,3.83
"114",0.738098120248456,0.292109700407637,4,4
"115",0.572161055140707,0.341924713293193,4,3.73
"116",0.556337421072183,0.338488842470001,4,3.7
"117",0.510122408727662,0.332831347442115,4,3.68
"118",0.492941736771973,0.340756482833703,4,3.67
"119",0.363555813509802,0.287097952131481,4,3.83
"120",0.738098120248456,0.292109700407637,4,4
"121",0.572161055140707,0.341924713293193,4,3.73
"122",0.556337421072183,0.338488842470001,4,3.7
"123",0.510122408727662,0.332831347442115,4,3.68
"124",0.492941736771973,0.340756482833703,4,3.67
"125",0.363555813509802,0.287097952131481,4,3.83
"126",0.738098120248456,0.292109700407637,4,4
"127",0.572161055140707,0.341924713293193,4,3.73
"128",0.556337421072183,0.338488842470001,4,3.7
"129",0.510122408727662,0.332831347442115,4,3.68
"130",0.492941736771973,0.340756482833703,4,3.67
"131",0.363555813509802,0.287097952131481,4,3.83
"132",0.738098120248456,0.292109700407637,4,4
"133",0.572161055140707,0.341924713293193,4,3.73
"134",0.556337421072183,0.338488842470001,4,3.7
"135",0.510122408727662,0.332831347442115,4,3.68
"136",0.492941736771973,0.340756482833703,4,3.67
"137",0.363555813509802,0.287097952131481,4,3.83
"138",0.738098120248456,0.292109700407637,4,4
"139",0.572161055140707,0.341924713293193,4,3.73
"140",0.556337421072183,0.338488842470001,4,3.7
"141",0.510122408727662,0.332831347442115,4,3.68
"142",0.492941736771973,0.340756482833703,4,3.67
"143",0.363555813509802,0.287097952131481,4,3.83
"144",0.738098120248456,0.292109700407637,4,4
"145",0.572161055140707,0.341924713293193,4,3.73
"146",0.556337421072183,0.338488842470001,4,3.7
"147",0.510122408727662,0.332831347442115,4,3.68
"148",0.492941736771973,0.340756482833703,4,3.67
"149",0.363555813509802,0.287097952131481,4,3.83
"150",0.738098120248456,0.292109700407637,4,4
"151",0.572161055140707,0.341924713293193,4,3.73
"152",0.556337421072183,0.338488842470001,4,3.7
"153",0.510122408727662,0.332831347442115,4,3.68
"154",0.492941736771973,0.340756482833703,4,3.67
"155",0.363555813509802,0.287097952131481,4,3.83
"156",0.738098120248456,0.292109700407637,4,4
"157",0.572161055140707,0.341924713293193,4,3.73
"158",0.556337421072183,0.338488842470001,4,3.7
"159",0.510122408727662,0.332831347442115,4,3.68
"160",0.492941736771973,0.340756482833703,4,3.67
"161",0.363555813509802,0.287097952131481,4,3.83
"162",0.738098120248456,0.292109700407637,4,4
"163",0.572161055140707,0.341924713293193,4,3.73
"164",0.556337421072183,0.338488842470001,4,3.7
"165",0.510122408727662,0.332831347442115,4,3.68
"166",0.492941736771973,0.340756482833703,4,3.67
"167",0.363555813509802,0.287097952131481,4,3.83
"168",0.738098120248456,0.292109700407637,4,4
"169",0.572161055140707,0.341924713293193,4,3.73
"170",0.556337421072183,0.338488842470001,4,3.7
"171",0.510122408727662,0.332831347442115,4,3.68
"172",0.492941736771973,0.340756482833703,4,3.67
"173",0.363555813509802,0.287097952131481,4,3.83
"174",0.738098120248456,0.292109700407637,4,4
"175",0.572161055140707,0.341924713293193,4,3.73
"176",0.556337421072183,0.338488842470001,4,3.7
"177",0.510122408727662,0.332831347442115,4,3.68
"178",0.492941736771973,0.340756482833703,4,3.67
"179",0.363555813509802,0.287097952131481,4,3.83
"180",0.738098120248456,0.292109700407637,4,4
"181",0.572161055140707,0.341924713293193,4,3.73
"182",0.556337421072183,0.338488842470001,4,3.7
"183",0.510122408727662,0.332831347442115,4,3.68
"184",0.492941736771973,0.340756482833703,4,3.67
"185",0.363555813509802,0.287097952131481,4,3.83
"186",0.738098120248456,0.292109700407637,4,4
"187",0.572161055140707,0.341924713293193,4,3.73
"188",0.556337421072183,0.338488842470001,4,3.7
"189",0.510122408727662,0.332831347442115,4,3.68
"190",0.492941736771973,0.340756482833703,4,3.67
"191",0.363555813509802,0.287097952131481,4,3.83
"192",0.738098120248456,0.292109700407637,4,4
"193",0.572161055140707,0.341924713293193,4,3.73
"194",0.556337421072183,0.338488842470001,4,3.7
"195",0.510122408727662,0.332831347442115,4,3.68
"196",0.492941736771973,0.340756482833703,4,3.67
"197",0.363555813509802,0.287097952131481,4,3.83
"198",0.738098120248456,0.292109700407637,4,4
"199",0.572161055140707,0.341924713293193,4,3.73
"200",0.556337421072183,0.338488842470001,4,3.7
"201",0.510122408727662,0.332831347442115,4,3.68
"202",0.492941736771973,0.340756482833703,4,3.67
"203",0.363555813509802,0.287097952131481,4,3.83
"204",0.738098120248456,0.292109700407637,4,4
"205",0.572161055140707,0.341924713293193,4,3.73
"206",0.556337421072183,0.338488842470001,4,3.7
"207",0.510122408727662,0.332831347442115,4,3.68
"208",0.492941736771973,0.340756482833703,4,3.67
"209",0.363555813509802,0.287097952131481,4,3.83
"210",0.738098120248456,0.292109700407637,4,4
"211",0.572161055140707,0.341924713293193,4,3.73
"212",0.556337421072183,0.338488842470001,4,3.7
"213",0.510122408727662,0.332831347442115,4,3.68
"214",0.492941736771973,0.340756482833703,4,3.67
"215",0.363555813509802,0.287097952131481,4,3.83
"216",0.738098120248456,0.292109700407637,4,4
"217",0.572161055140707,0.341924713293193,4,3.73
"218",0.556337421072183,0.338488842470001,4,3.7
"219",0.510122408727662,0.332831347442115,4,3.68
"220",0.492941736771973,0.340756482833703,4,3.67
"221",0.363555813509802,0.287097952131481,4,3.83
"222",0.738098120248456,0.292109700407637,4,4
"223",0.572161055140707,0.341924713293193,4,3.73
"224",0.556337421072183,0.338488842470001,4,3.7
"225",0.510122408727662,0.332831347442115,4,3.68
"226",0.492941736771973,0.340756482833703,4,3.67
"227",0.363555813509802,0.287097952131481,4,3.83
"228",0.738098120248456,0.292109700407637,4,4
"229",0.572161055140707,0.341924713293193,4,3.73
"230",0.556337421072183,0.338488842470001,4,3.7
"231",0.510122408727662,0.332831347442115,4,3.68
"232",0.492941736771973,0.340756482833703,4,3.67
"233",0.363555813509802,0.287097952131481,4,3.83
"234",0.738098120248456,0.292109700407637,4,4
"235",0.572161055140707,0.341924713293193,4,3.73
"236",0.556337421072183,0.338488842470001,4,3.7
"237",0.510122408727662,0.332831347442115,4,3.68
"238",0.492941736771973,0.340756482833703,4,3.67
"239",0.363555813509802,0.287097952131481,4,3.83
"240",0.738098120248456,0.292109700407637,4,4
"241",0.572161055140707,0.341924713293193,4,3.73
"242",0.556337421072183,0.338488842470001,4,3.7
"243",0.510122408727662,0.332831347442115,4,3.68
"244",0.492941736771973,0.340756482833703,4,3.67
"245",0.363555813509802,0.287097952131481,4,3.83
"246",0.738098120248456,0.292109700407637,4,4
"247",0.572161055140707,0.341924713293193,4,3.73
"248",0.556337421072183,0.338488842470001,4,3.7
"249",0.510122408727662,0.332831347442115,4,3.68
"250",0.492941736771973,0.340756482833703,4,3.67
"251",0.363555813509802,0.287097952131481,4,3.83
"252",0.738098120248456,0.292109700407637,4,4
"253",0.572161055140707,0.341924713293193,4,3.73
"254",0.556337421072183,0.338488842470001,4,3.7
"255",0.510122408727662,0.332831347442115,4,3.68
"256",0.492941736771973,0.340756482833703,4,3.67
"257",0.363555813509802,0.287097952131481,4,3.83
"258",0.738098120248456,0.292109700407637,4,4
"259",0.572161055140707,0.341924713293193,4,3.73
"260",0.556337421072183,0.338488842470001,4,3.7
"261",0.510122408727662,0.332831347442115,4,3.68
"262",0.492941736771973,0.340756482833703,4,3.67
"263",0.363555813509802,0.287097952131481,4,3.83
"264",0.738098120248456,0.292109700407637,4,4
"265",0.572161055140707,0.341924713293193,4,3.73
"266",0.556337421072183,0.338488842470001,4,3.7
"267",0.510122408727662,0.332831347442115,4,3.68
"268",0.492941736771973,0.340756482833703,4,3.67
"269",0.363555813509802,0.287097952131481,4,3.83
"270",0.738098120248456,0.292109700407637,4,4
"271",0.572161055140707,0.341924713293193,4,3.73
"272",0.556337421072183,0.338488842470001,4,3.7
"273",0.510122408727662,0.332831347442115,4,3.68
"274",0.492941736771973,0.340756482833703,4,3.67
"275",0.363555813509802,0.287097952131481,4,3.83
"276",0.738098120248456,0.292109700407637,4,4
"277",0.572161055140707,0.341924713293193,4,3.73
"278",0.556337421072183,0.338488842470001,4,3.7
"279",0.510122408727662,0.332831347442115,4,3.68
"280",0.492941736771973,0.340756482833703,4,3.67
"281",0.363555813509802,0.287097952131481,4,3.83
"282",0.738098120248456,0.292109700407637,4,4
"283",0.572161055140707,0.341924713293193,4,3.73
"284",0.556337421072183,0.338488842470001,4,3.7
"285",0.510122408727662,0.332831347442115,4,3.68
"286",0.492941736771973,0.340756482833703,4,3.67
"287",0.363555813509802,0.287097952131481,4,3.83
"288",0.738098120248456,0.292109700407637,4,4
"289",0.572161055140707,0.341924713293193,4,3.73
"290",0.556337421072183,0.338488842470001,4,3.7
"291",0.510122408727662,0.332831347442115,4,3.68
"292",0.492941736771973,0.340756482833703,4,3.67
"293",0.363555813509802,0.287097952131481,4,3.83
"294",0.738098120248456,0.292109700407637,4,4
"295",0.572161055140707,0.341924713293193,4,3.73
"296",0.556337421072183,0.338488842470001,4,3.7
"297",0.510122408727662,0.332831347442115,4,3.68
"298",0.492941736771973,0.340756482833703,4,3.67
"299",0.363555813509802,0.287097952131481,4,3.83
"300",0.738098120248456,0.292109700407637,4,4
"301",0.498909806781534,0.390781179392451,5,3.73
"302",0.495018140098337,0.388047454618287,5,3.7
"303",0.458520408611439,0.367604590256379,5,3.68
"304",0.466118129938849,0.382617200942053,5,3.67
"305",0.247506680451571,0.227712372926832,5,3.83
"306",0.678461730502084,0.399241321530905,5,4
"307",0.498909806781534,0.390781179392451,5,3.73
"308",0.495018140098337,0.388047454618287,5,3.7
"309",0.458520408611439,0.367604590256379,5,3.68
"310",0.466118129938849,0.382617200942053,5,3.67
"311",0.247506680451571,0.227712372926832,5,3.83
"312",0.678461730502084,0.399241321530905,5,4
"313",0.498909806781534,0.390781179392451,5,3.73
"314",0.495018140098337,0.388047454618287,5,3.7
"315",0.458520408611439,0.367604590256379,5,3.68
"316",0.466118129938849,0.382617200942053,5,3.67
"317",0.247506680451571,0.227712372926832,5,3.83
"318",0.678461730502084,0.399241321530905,5,4
"319",0.498909806781534,0.390781179392451,5,3.73
"320",0.495018140098337,0.388047454618287,5,3.7
"321",0.458520408611439,0.367604590256379,5,3.68
"322",0.466118129938849,0.382617200942053,5,3.67
"323",0.247506680451571,0.227712372926832,5,3.83
"324",0.678461730502084,0.399241321530905,5,4
"325",0.498909806781534,0.390781179392451,5,3.73
"326",0.495018140098337,0.388047454618287,5,3.7
"327",0.458520408611439,0.367604590256379,5,3.68
"328",0.466118129938849,0.382617200942053,5,3.67
"329",0.247506680451571,0.227712372926832,5,3.83
"330",0.678461730502084,0.399241321530905,5,4
"331",0.498909806781534,0.390781179392451,5,3.73
"332",0.495018140098337,0.388047454618287,5,3.7
"333",0.458520408611439,0.367604590256379,5,3.68
"334",0.466118129938849,0.382617200942053,5,3.67
"335",0.247506680451571,0.227712372926832,5,3.83
"336",0.678461730502084,0.399241321530905,5,4
"337",0.498909806781534,0.390781179392451,5,3.73
"338",0.495018140098337,0.388047454618287,5,3.7
"339",0.458520408611439,0.367604590256379,5,3.68
"340",0.466118129938849,0.382617200942053,5,3.67
"341",0.247506680451571,0.227712372926832,5,3.83
"342",0.678461730502084,0.399241321530905,5,4
"343",0.498909806781534,0.390781179392451,5,3.73
"344",0.495018140098337,0.388047454618287,5,3.7
"345",0.458520408611439,0.367604590256379,5,3.68
"346",0.466118129938849,0.382617200942053,5,3.67
"347",0.247506680451571,0.227712372926832,5,3.83
"348",0.678461730502084,0.399241321530905,5,4
"349",0.498909806781534,0.390781179392451,5,3.73
"350",0.495018140098337,0.388047454618287,5,3.7
"351",0.458520408611439,0.367604590256379,5,3.68
"352",0.466118129938849,0.382617200942053,5,3.67
"353",0.247506680451571,0.227712372926832,5,3.83
"354",0.678461730502084,0.399241321530905,5,4
"355",0.498909806781534,0.390781179392451,5,3.73
"356",0.495018140098337,0.388047454618287,5,3.7
"357",0.458520408611439,0.367604590256379,5,3.68
"358",0.466118129938849,0.382617200942053,5,3.67
"359",0.247506680451571,0.227712372926832,5,3.83
"360",0.678461730502084,0.399241321530905,5,4
"361",0.498909806781534,0.390781179392451,5,3.73
"362",0.495018140098337,0.388047454618287,5,3.7
"363",0.458520408611439,0.367604590256379,5,3.68
"364",0.466118129938849,0.382617200942053,5,3.67
"365",0.247506680451571,0.227712372926832,5,3.83
"366",0.678461730502084,0.399241321530905,5,4
"367",0.498909806781534,0.390781179392451,5,3.73
"368",0.495018140098337,0.388047454618287,5,3.7
"369",0.458520408611439,0.367604590256379,5,3.68
"370",0.466118129938849,0.382617200942053,5,3.67
"371",0.247506680451571,0.227712372926832,5,3.83
"372",0.678461730502084,0.399241321530905,5,4
"373",0.498909806781534,0.390781179392451,5,3.73
"374",0.495018140098337,0.388047454618287,5,3.7
"375",0.458520408611439,0.367604590256379,5,3.68
"376",0.466118129938849,0.382617200942053,5,3.67
"377",0.247506680451571,0.227712372926832,5,3.83
"378",0.678461730502084,0.399241321530905,5,4
"379",0.498909806781534,0.390781179392451,5,3.73
"380",0.495018140098337,0.388047454618287,5,3.7
"381",0.458520408611439,0.367604590256379,5,3.68
"382",0.466118129938849,0.382617200942053,5,3.67
"383",0.247506680451571,0.227712372926832,5,3.83
"384",0.678461730502084,0.399241321530905,5,4
"385",0.498909806781534,0.390781179392451,5,3.73
"386",0.495018140098337,0.388047454618287,5,3.7
"387",0.458520408611439,0.367604590256379,5,3.68
"388",0.466118129938849,0.382617200942053,5,3.67
"389",0.247506680451571,0.227712372926832,5,3.83
"390",0.678461730502084,0.399241321530905,5,4
"391",0.498909806781534,0.390781179392451,5,3.73
"392",0.495018140098337,0.388047454618287,5,3.7
"393",0.458520408611439,0.367604590256379,5,3.68
"394",0.466118129938849,0.382617200942053,5,3.67
"395",0.247506680451571,0.227712372926832,5,3.83
"396",0.678461730502084,0.399241321530905,5,4
"397",0.498909806781534,0.390781179392451,5,3.73
"398",0.495018140098337,0.388047454618287,5,3.7
"399",0.458520408611439,0.367604590256379,5,3.68
"400",0.466118129938849,0.382617200942053,5,3.67
"401",0.247506680451571,0.227712372926832,5,3.83
"402",0.678461730502084,0.399241321530905,5,4
"403",0.498909806781534,0.390781179392451,5,3.73
"404",0.495018140098337,0.388047454618287,5,3.7
"405",0.458520408611439,0.367604590256379,5,3.68
"406",0.466118129938849,0.382617200942053,5,3.67
"407",0.247506680451571,0.227712372926832,5,3.83
"408",0.678461730502084,0.399241321530905,5,4
"409",0.498909806781534,0.390781179392451,5,3.73
"410",0.495018140098337,0.388047454618287,5,3.7
"411",0.458520408611439,0.367604590256379,5,3.68
"412",0.466118129938849,0.382617200942053,5,3.67
"413",0.247506680451571,0.227712372926832,5,3.83
"414",0.678461730502084,0.399241321530905,5,4
"415",0.498909806781534,0.390781179392451,5,3.73
"416",0.495018140098337,0.388047454618287,5,3.7
"417",0.458520408611439,0.367604590256379,5,3.68
"418",0.466118129938849,0.382617200942053,5,3.67
"419",0.247506680451571,0.227712372926832,5,3.83
"420",0.678461730502084,0.399241321530905,5,4
"421",0.498909806781534,0.390781179392451,5,3.73
"422",0.495018140098337,0.388047454618287,5,3.7
"423",0.458520408611439,0.367604590256379,5,3.68
"424",0.466118129938849,0.382617200942053,5,3.67
"425",0.247506680451571,0.227712372926832,5,3.83
"426",0.678461730502084,0.399241321530905,5,4
"427",0.498909806781534,0.390781179392451,5,3.73
"428",0.495018140098337,0.388047454618287,5,3.7
"429",0.458520408611439,0.367604590256379,5,3.68
"430",0.466118129938849,0.382617200942053,5,3.67
"431",0.247506680451571,0.227712372926832,5,3.83
"432",0.678461730502084,0.399241321530905,5,4
"433",0.498909806781534,0.390781179392451,5,3.73
"434",0.495018140098337,0.388047454618287,5,3.7
"435",0.458520408611439,0.367604590256379,5,3.68
"436",0.466118129938849,0.382617200942053,5,3.67
"437",0.247506680451571,0.227712372926832,5,3.83
"438",0.678461730502084,0.399241321530905,5,4
"439",0.498909806781534,0.390781179392451,5,3.73
"440",0.495018140098337,0.388047454618287,5,3.7
"441",0.458520408611439,0.367604590256379,5,3.68
"442",0.466118129938849,0.382617200942053,5,3.67
"443",0.247506680451571,0.227712372926832,5,3.83
"444",0.678461730502084,0.399241321530905,5,4
"445",0.498909806781534,0.390781179392451,5,3.73
"446",0.495018140098337,0.388047454618287,5,3.7
"447",0.458520408611439,0.367604590256379,5,3.68
"448",0.466118129938849,0.382617200942053,5,3.67
"449",0.247506680451571,0.227712372926832,5,3.83
